Mes,Cuota Mensual,Intereses,Amortizacion,Monto Restante,Estado
1,299709,41666.7,258042,9.74196e+006,NO PAGADO
2,299709,40591.5,259117,9.48284e+006,NO PAGADO
3,299709,39511.8,260197,9.22264e+006,NO PAGADO
4,299709,38427.7,261281,8.96136e+006,NO PAGADO
5,299709,37339,262370,8.69899e+006,NO PAGADO
6,299709,36245.8,263463,8.43553e+006,NO PAGADO
7,299709,35148,264561,8.17097e+006,NO PAGADO
8,299709,34045.7,265663,7.9053e+006,NO PAGADO
9,299709,32938.8,266770,7.63853e+006,NO PAGADO
10,299709,31827.2,267882,7.37065e+006,NO PAGADO
11,299709,30711.1,268998,7.10165e+006,NO PAGADO
12,299709,29590.2,270119,6.83154e+006,NO PAGADO
13,299709,28464.7,271244,6.56029e+006,NO PAGADO
14,299709,27334.5,272374,6.28792e+006,NO PAGADO
15,299709,26199.7,273509,6.01441e+006,NO PAGADO
16,299709,25060,274649,5.73976e+006,NO PAGADO
17,299709,23915.7,275793,5.46397e+006,NO PAGADO
18,299709,22766.5,276942,5.18702e+006,NO PAGADO
19,299709,21612.6,278096,4.90893e+006,NO PAGADO
20,299709,20453.9,279255,4.62967e+006,NO PAGADO
21,299709,19290.3,280419,4.34925e+006,NO PAGADO
22,299709,18121.9,281587,4.06767e+006,NO PAGADO
23,299709,16948.6,282760,3.78491e+006,NO PAGADO
24,299709,15770.4,283939,3.50097e+006,NO PAGADO
25,299709,14587.4,285122,3.21585e+006,NO PAGADO
26,299709,13399.4,286310,2.92954e+006,NO PAGADO
27,299709,12206.4,287503,2.64203e+006,NO PAGADO
28,299709,11008.5,288700,2.35333e+006,NO PAGADO
29,299709,9805.55,289903,2.06343e+006,NO PAGADO
30,299709,8597.62,291111,1.77232e+006,NO PAGADO
31,299709,7384.66,292324,1.47999e+006,NO PAGADO
32,299709,6166.64,293542,1.18645e+006,NO PAGADO
33,299709,4943.55,294765,891686,NO PAGADO
34,299709,3715.36,295994,595692,NO PAGADO
35,299709,2482.05,297227,298465,NO PAGADO
36,299709,1243.61,298465,-0.0625,NO PAGADO
